accord,ー致
behave,振る舞う
blame,～を責める
campaign,運動
capital,資本
client,顧客
code,規範
combine,～を結びつける
conference,会議
confidence,自信
confuse,～を混同する
consume,～を消費する
convince,～を納得(確信)させる
corporation,(大)企業
court,裁判所・法廷
creative,創造的な・独創的な
criminal,犯罪者・犯人
crisis,危機
criticize,～を批判する
demonstrate,～を論証(証明)する
desert,人の住まない
document,(公)文書
educate,～を教育する
efficient,効率的な
encounter,～に遭遇する
engage,～を従事させる
entire,全体の・全部の
evolve,(徐々に)発展する
expand,拡大する
explore,調査する
extend,～を伸ばす・延ばす
extreme,極端な
flow,流れる
fossil,化石
freeze,凍る
gender,(社会的・文化的)性別
genetic,遺伝(子)の
glacier,氷河
harm,害
hypothesis,仮説
ideal,理想的な
imagination,想像(力)
independent,独立した
insist,強く主張する
judge,判断する
laboratory,実験室・研究室
legal,法律の
locate,～の位置を探し当てる
meanwhile,(２つの事柄を対比して)一方
minister,大臣
notion,概念・観念
nowadays,近頃は
occasion,場合・時
operate,～を操作する
option,選択(の自由)
organ,臓器
organize,～を組織する
perspective,観点
phylosophy,哲学
potential,潜在的な
predict,～を予言(予測)する
presence,存在
previous,以前の・前の
purchase,～を購入する
recall,～を思い出す
relative,相対的な
release,～を放出する
religion,宗教
rely,頼る
remove,～を取り除く
review,(書物などの)論評
reward,報酬
rural,田舎の
seldom,めったに～ない
select,～を選ぶ・精選する
settle,～を解決する
statistics,統計
stereotype,固定観念
substance,物質
suit,～に適する
the latter,(二者のうち)後者
tiny,とても小さな
vast,広大な
versus,A対B
victim,犠牲(者)・被害者
virus,ウイルス
vocabulary,語彙
willing,いとわない
accurate,正確な
actual,実際の
alarm,不安
arise,生じる
ban,～を(法的に)禁止する
barrier,障壁
budget,予算
category,部類
civil,市民の
cognitive,認知の
commit,深くかかわる
compete,競う
complicate,～を複雑にする
conclude,～と結論付ける
confort,快適さ
conscious,意識して・気づいて
consist,成る
constant,絶え間ない
contract,契約(書)
convenient,便利な・都合のいい
credit,(功績など)を～に帰する
cure,～を治す
deliver,～を配達する
deny,～を否定する
dialect,方言
distinguish,～を区別する
diversity,多様性
duty,義務
elite,(集合的に)エリート
emergency,緊急(事態)
emphasize,～を強調する
employ,～を雇う
enormous,巨大な・莫大な
expect,～を予期する
expenses,経費
facility,施設・設備
false,誤った
fascinate,～を魅了する
fault,責任
frighten,(人)を怖がらせる
fundamental,基本的な
generate,～を生み出す
grain,穀物
handle,～を処理する
harvest,収穫(物)
hate,～をひどく嫌う
humanity,人類
illegal,違法の・不法の
import,～を輸入する
infant,乳児
innovation,革新
inspire,(人)を触発する
instrument,器具
insurance,保険
intelligent,聡明な
intend,～を意図する
lawyer,弁護士
loan,貸付金・融資
mammal,哺乳動物
military,軍の
myth,作り話
neighborhood,地域
obtain,～を得る
oppose,～に反対する
overcome,～を克服する
participate,参加する
perceive,～を知覚する
primary,最も重要な
proportion,割合
propose,～を提案する
protain,たんぱく質
psychology,心理学
quantity,量
rare,珍しい・希少な
recommend,～を勧める
regret,～を後悔する
reject,～を拒否する
remind,～に思い出させる
repair,～を修理する
request,～を要請する
reserve,(判断など)を保留にする
ritual,儀式
routine,決まりきった仕事
rush,急いでいく
sensitive,敏感な
severe,(人・規律などが)厳しい
strict,厳格な
tissue,(生物の)組織
trait,特性
transform,～を変える
translate,～を翻訳する
transport,～を輸送する
tribe,部族
typical,典型的な
universal,普遍的な
version,(本・製品などの）版
violent,暴力的な
visual,視覚の
vote,投票
weapon,兵器・武器
abandon,～を捨てる
absorb,～を吸収する
adjust,～を調整する
agent,仲介者・代理人
aggressive,攻撃的な
alter,～を変える
annual,1年間の
arrange,～の段取りをつける
award,～を授与する
bilingual,2言語を使う
bother,～を悩ます
breathe,呼吸する
breed,～を飼育する・繁殖させる
burden,負担
capable,能力がある
celebrate,～を祝う
colony,植民地
command,～と命じる
concentrate,集中する
confirm,～を確認する
construct,～を建設する
contemporary,現代の
contrary,反対の
conventional,従来の
depression,憂鬱
differ,異なる
disappoint,～を失望させる
discipline,規律・しつけ
distant,遠い
district,地区
domestic,家庭の
editor,編集者
elementary,初級の
embarrass,～に恥ずかしい思いをさせる
ensure,～を確実にする
equality,平等・対等
evil,邪悪な
expose,～をさらす
favor,～に賛成する
fee,料金
glance,ちらっと見ること
grant,～を与える
guarantee,～を保証する
habitat,生息地
hybrid,ハイブリッド車
immediate,即座の
immigration,(外国からの)移住
imply,～を暗に意味する
incident,出来事・事件
inform,～に知らせる
ingredient,成分・材料
inhabitant,住民
injure,～を傷つける
insight,洞察力・見識
instructions,指示
interact,影響しあう
interpret,～を解釈する
invest,投資する
investigate,～を調査する
landscape,風景
layer,層
linguistic,言語の
manufacture,～を製造する
melt,溶ける
mission,使命
nerve,神経
nuclear,核の・原子力の
opponent,(試合・論争などの)相手
outcome,結果
overall,全体的な
permit,～を許可する
praise,～を賞賛する
pretend,～のふりをする
procedure,手続き
proper,適切な
ray,光線
react,反応する
recover,回復する
reputation,評判
resonable,合理的な
row,列
sacrifice,犠牲
shelter,避難(所)・保護
stare,じっと見る
stuff,(漠然と)物
sufficient,十分な
symptom,症状
territory,領土
therapy,療法
thick,厚い
transfer,～を移す
upset,～を動揺させる
verbal,言葉の
virtual,仮想の
warn,～に警告する
welfare,福祉・幸福
widespread,広範囲にわたる
wisdom,知恵
witness,目撃者
wound,(銃弾・刃物などによる)傷
accompany,同行する
acknowledge,認める
admire,感嘆する
annoy,悩ます(受身形で)腹が立つ
anxious,心配して
apologize,謝る
approve,賛成する、承認する
asteroid,小惑星
biological,生物学(上)の
blaze,炎
bond,絆
boundary,境界(線)
capture,捕らえる
collapse,崩壊する
companion,連れ
component,構成要素
conservation,(動植物などの)保護
cope,うまく処理する
council,(地方)議会
courage,勇気
crash,衝突する、墜落する
crucial,重要な
curious,好奇心の強い
declare,宣言する
democratic,民主主義の
devote,ささげる
discrimination,差別
distinct,明らかに異なる
distribute,分配する
disturb,かき乱す、邪魔する
dominate,支配する
drought,干ばつ
ease,軽減する
endanger,危険にさらす
enhance,(価値など)を高める
exact,正確な
exception,例外
exhaust,疲れ果てさせる、排気する
export,輸出する
extraordinary,異常な
fate,運命
globe,地球
gravity,重力、引力
grocery,食料雑貨(～ies)
guard,護衛者
hemisphere,半球
illustrate,説明する
initial,初めの
isolate,孤立させる
jury,陪審
justice,公正、正義
launch,開始する、発射する
lend,貸す
license,免許(証)
liquid,液体
litter,ごみ
logic,論理
luxury,ぜいたく(品)
marine,海の
minor,小さい
mood,気分、雰囲気
numerous,非常に数の多い
occupy,(空間・時間)を占める
odd,奇妙な、奇数の
orbit,軌道
passion,情熱
persuade,説得する
physhician,内科医
possess,所有している
prejudice,偏見
principal,主要な
priority,優先(事項)
profession,職業
protest,抗議する
pure,純粋な
pursue,追求する
puzzle,当惑させる
quit,やめる
racial,人種の、民族の
rational,理性的な
remark,述べる
remote,遠く離れた
rent,賃借りする
resemble,似ている
rude,無礼な
scare,おびえさせる
secretary,秘書
secure,確保する
stimulate,刺激する
sum,金額
superior,よりすぐれた
surgeon,外科医
surround,取り巻く
swallow,飲み込む
trace,痕跡、微量
trap,わな
treasure,宝物
tropical,熱帯の
urge,促す
vital,必要不可欠な、生き生きした
abuse,濫用、虐待
accomplish,成し遂げる、(受身で)熟達している
accuse,非難する、告訴する
administration,管理(部)、行政、政府(機関)
ambition,野望、野心
architecture,建築
artificial,人口の(⇔natural 自然の)、不自然な
attach,付ける
attribute,(結果など)を(…に)帰する、人のせいにする
beat,打つ、打ち負かす
bias,偏見、傾向
bow,お辞儀する、屈服する
brief,短い
calculate,計算する、予測する
candidate,候補(者)
convey,伝える、運ぶ
cooperation,協力
debt,借金
defeat,負かす、失敗させる
defend,防御する、弁護する
delight,喜ばせる(…を)大いに喜ぶ(in)
derive,由来する、引き出す
deserve,に値する
detect,感知する、見つけ出す
discount,割引
discourage,(人)にやる気をなくさせる、落胆させる
donor,寄贈者
eliminate,取り除く
enthusiasm,熱情(for)
equivalent,等しい、相当する
evaluate,評価する、査定する
expedition,遠征(隊)
external,外部の、対外的な
fairy,妖精の(ような)、(～tale)でおとぎ話
faith,信頼、信仰心
fare,(乗り物の)料金
flexible,融通の利く、柔軟な
fold,折り畳む、(腕など)を組む
foster,促進する、養育する
frame,枠、縁、骨組み
frequent,頻繁な
frustrate,挫折させる、(受身で)不満を抱く(with)
geography,(the～)地理、地理学
guilty,罪悪感のある、有罪の(of)、(feel～)で気がとがめる
herd,群れ、群衆
honor,光栄、名誉、敬意
incredible,信じられない、すばらしい
informal,形式ばらない、略式の
instinct,本能、勘
intense,強烈な
internal,内部の、国内の
league,(競技)連盟、同盟
literary,文学の
load,積む、負わせる
manual,体を使う、(～labor)で肉体労働
millennium,千年間
mineral,鉱物
minimum,最小限度
mode,方式、気分
modest,謙虚な
monitor,監視する、傍受する
neglect,怠る、無視する
peer,じっと見る
permanent,永続的な(⇔temporary 一時的な)
pesticide,殺虫剤、除草剤
pile,積み重ねる
plain,明らかな
pollen,花粉
pose,(問題など)を提起する
pour,注ぐ、放出する
precise,正確な、精密な
prefecture,県、府
prohibit,禁止する
prospect,見込み、展望、有望な人
proverb,ことわざ
punish,罰する
raw,生の、未加工の
reef,礁、暗礁
relieve,和らげる(受身で)安心する(to)、解放する
resist,抵抗する
restrict,制限する
retire,引退する、退職する
rubbish,ごみ
semester,学期
sequence,一連(のもの)、連続
session,集まり、～会
shrink,縮む、減少する
sibling,きょうだい(男女区別なし)
solid,個体の、頑丈な
sophisticated,洗練された、精巧な
specialize,専門とする、専攻する(in)(≒major)
stretch,伸ばす、広げる
sue,告訴する、訴訟を起こす
suspect,ではないかと思う、(人)を疑う
sustain,持続させる、支える
tap,有効利用する、引き出す
temporary,一時的な
usage,語法、使用(法)
vice,悪、欠点
visible,(目に)見える、明白な
abstract,抽象的な
apparent,明白な・一見～らしい
arrest,～を逮捕する・止める
artistic,芸術的な
assist,援助する
bend,～を曲げる・屈服させる
beverage,飲み物・飲料
blade,刃・羽根
blossom,花が咲く・発展する
bump into,～に偶然出会う
bury,～を埋める;埋葬する
casual,何気ない
charm,魅力・お守り
chew,噛む
classify,～を分類する・機密扱いにする
clue,手がかり・ヒント
compose,～を構成する・創作する
confront,～に立ち向かう・立ちはだかる
consult,～を相談する・参照する
convert,～を変える・交換する
core,核心・芯
dispute,～に異議を唱える・議論する
divorce,離婚・分離
eager,熱望して
ecology,生態学・生態系
embrace,～を受け入れる・抱擁する
endure,～に耐える・存続する
enterprise,企業・事業
entertain,～を楽しませる
esteem,～を尊敬する・みなす
ethics,倫理・道徳
ethnic,民族の・人種の
exhibit,～を展示する・(感情などを)表す
faculty,能力・機能
federal,連邦政府の
float,浮かぶ・漂う
fluent,流暢な
formation,形成・構成物
fortune,財産・運命
galaxy,星雲・銀河
govern,支配する
haven,避難所・保護区
humorous,ひょうきんな・ユーモアのある
imitate,～をまねる
impose,～を課す・押し付ける
impress,～を感動させる
interrupt,～を中断させる
jail,刑務所
justify,～を正当化する
leap,跳ぶ・さっと動く
limitation,制限・限界
mankind,人類
mature,成熟した
mere,単なる・ほんの
merit,利点・功績
molecule,分子・微粒子
mutual,相互の
nationality,国籍・国民
negotiate,交渉する
nutrition,栄養
obstacle,障害
overwhelm,～を圧倒する
owe,～に借りがある
panic,パニック
pension,年金
pity,哀れみ
polish,～を磨く・洗練させる
precious,貴重な
prime,最も重要な・第一の
primitive,原始的な
province,州・県
queue,(順番を待つ)列
quote,～を引用する
recipe,調理法
reluctant,気が進まない・嫌がる
rescue,～を救う
resolve,～を解決する・決意する
restore,～を回復させる
retain,～を保持する・覚えている
retreat,後退・退却
reverse,～を逆転させる
royal,王の
ruin,～だめにする
scheme,計画・体系
seal,～を密閉する
sensation,感覚・大評判
skeleton,骨格
slight,わずかな・取るに足らない
span,期間・範囲
spare,余分の・予備の
stable,安定した
steady,着実な
stem,茎・幹
stroke,脳卒中・打つこと
substitute,～を代わりに使う
sympathy,同情・共感
theft,窃盗
tragedy,悲劇
ultimate,究極の
yield,～をもたらす・産出する
abvocate,～を主張する・擁護する
acid,酸性の・酸っぱい
adequate,十分な・適切な
adolescent,青年
alert,警戒して
alien,異質な・外国の
appetite,食欲
arctic,北極の
burst,破裂する
cattle,牛
chaos,混沌・大混乱
chase,追跡する・追求する
circulation,循環・流通
cite,～を引き合いに出す
clog,～を詰まらせる・阻害する
congress,(米国などの)議会
consent,同意・承諾
conservative,保守的な
cosmetic,化粧の・美容の
cultivate,～養う・栽培する
deceive,～をだます
dignity,尊厳・威厳
dimension,側面・局面
dismiss,(意見など)を退ける
distract,(注意など)をそらす
distress,苦悩・苦痛
dynamic,活動的な・動的な
equation,方程式
exaggerate,誇張する
exceed,～を超える・勝る
extinct,絶滅した・廃止された
famine,飢饉
fancy,(気まぐれな)好み
fatigue,疲労
flee,逃げる
forbid,～を禁じる
forecast,～を予想する
funeral,葬式
gaze,じっと見る
genuine,本物の
grab,～をつかむ・横領する
grasp,～を把握する
greet,～に挨拶する
grip,～を握る・とらえる
hazard,危険・偶然
heal,～を治す
heritage,遺産
hesitate,躊躇する
illusion,錯覚・思い違い
indifferent,無関心な
infection,感染(症)
infrastructure,(経済)基盤・インフラ
interfere,干渉する・介入する
intimate,親密な
liberty,自由・開放
meaningful,意味のある
mechanical,機械の・機械的な
metaphor,隠喩・比喩
migrate,移住する
moderate,過度な・穏健な
modify,～を修正する・緩和する
monk,修道士・僧
multiple,多様な
narrative,物語・話
nod,うなずく・うとうとする
obey,～に従う
overlook,～を見落とす
parliament,(英国などの)議会
patent,特許
polar,極地の
portion,部分・１人前
postpone,～を延期する
predator,捕食動物・略奪者
priest,聖職者
privilege,特権・特典
prompt,迅速な
prosperity,繁栄
qualify,～に資格を与える
random,無作為の
rear,(人・動物・植物)を育てる
register,～を記録する・登録する
relevant,関係がある
scan,～を注意深く調べる
shade,(日)陰
shame,恥
spiritual,精神の
spoil,～を台無しにする・甘やかす
stress,ストレス・圧力
subtle,微妙な・希薄な
supplement,栄養補助剤
swing,～を揺らす・振る
temper,気質・気性
thrill,～をぞくぞくさせる
transition,移り変わり・過渡期
trigger,～を引き起こす
undergo,～を経験する・受ける
venture,危険を冒して進む
wilderness,荒野
withdraw,～を引き出す・撤回する
yawn,あくびをする
abundant,豊富な
accumulate,～を蓄積する
accustom,～を慣れさせる
anniversary,記念日
anticipate,～を予期する
assess,～を評価する
assign,～を配属する
astonish,～を驚かす
awkward,気まずい
blend,～を混ぜる・調和させる
boost,～を高める
brave,勇敢な
brilliant,すばらしい
cast,～投じる
cease,～をやめる
census,国勢調査
column,コラム
combat,戦闘・対立
competent,有能な・適任な
compliment,賛辞
concrete,具体的な
conquer,～を征服する
consensus,総意
constitute,～を構成する
controversy,論争
correspond,一致する
cough,咳をする
crack,割れ目
deadline,締切
decorate,～を装飾する
dense,密集した・密度の高い
deposit,～を置く・預ける
deprive,(権利などを)奪う
destiny,運命
diminish,～を減らす
dormitory,寮
drift,漂う・さまよう
dump,～を投棄する・落とす
emit,(光・音などを)出す
estate,（不動産などの）財産
exclude,～を除外する
fantasy,空想
fluid,流動体・液体
gallery,美術館・画廊
generous,寛大な
harsh,厳しい
hive,ミツバチの巣・群衆
impulse,衝動・刺激
incentive,動機(付け)
inevitable,避けられない
insult,～を侮辱する
intuition,直観(力)・直感
irrigation,灌漑
irritate,～をいらいらさせる
joint,関節
margin,余白・差
mess,散らかった状態
mill,製造工場
mount,～に着手する・乗る
neutral,中立の・はっきりしない
nursery,託児所
nurture,～はぐくむ
optimistic,楽観的な
oral,口頭の
output,生産(高)
particle,(微)粒子
passive,受動的な
persist,固執する
phase,段階・面
pitch,～を投げる
plot,(小説などの)筋
poll,世論調査
portray,～を描く・演じる
prairie,大草原
prey,獲物
profound,重大な・深い
prominent,卓越した
pronounce,～を宣言する・発音する
realm,領域・領土
reform,～を改革する
regulate,～を規制する
reinforce,～を強化する
remedy,治療(法)
resort,(好ましくない手段に)訴える
rob,(金品を)奪う
sacred,神聖な
sensible,賢明な・実用的な
sensory,感覚の
spectator,(試合などの)観客
spell,～を綴る
treaty,(国家間の)条約
triumpth,勝利
twist,～をねじる・ひねる
ugly,醜い
underlie,～の根底にある
urgent,緊急の
vague,漠然とした
violate,～を侵害する
virtue,美徳・長所
wander,歩き回る・それる
abortion,妊娠中絶
absolute,絶対的な
accelerate,加速する・促進する
amuse,～をおもしろがらせる
asethetic,美的な
assets,資産
bitter,苦い・厳しい
cereals,穀物
cheat,～をだます
chore,雑用・日課
collective,集団の・共同の
commodity,商品
commute,通勤・通学する
conceal,～を隠す
confine,～を限定する
convict,～に有罪を宣告する
counterpart,相当するもの
courtesy,礼儀正しさ・好意
cruel,残酷な
crush,～を押しつぶす
cue,合図
currency,通貨・普及
dare,あえて～する
deaf,耳が聞こえない
decent,そこそこの・きちんとした
dedicate,～をささげる
deforestation,森林伐採
dip,～を浸す・突っ込む
discard,～を捨てる・解雇する
disgust,～をむかつかせる
draft,下書き
drain,流れ出させる
elaborate,入念な
elect,～を選出する
epidemic,流行病
equip,～に備え付ける
exotic,外来の
explode,爆発する・急増する
exploit,～を活用する・搾取する
fade,薄れる・衰える
fiber,繊維(質)・本質
flavor,風味
flock,群れ
flourish,繁栄する・繁茂する
forgive,～を許す
formula,方法
fulfill,～を実現させる
grateful,感謝している
humble,謙虚な・質素な
inherit,～を受け継ぐ
intake,摂取量
intellect,知性
keen,熱心な・鋭敏な
librarian,司書
log on,ログオンする
microbe,細菌
mild,穏やかな
mixture,混合(物)
motive,動機
noble,高貴な・堂々とした
outbreak,発生・勃発
outlet,直売店
parallel,平行の
patch,小区画の土地
pedestrian,歩行者
penalty,(刑)罰
perfume,香水・香料
posture,姿勢・心構え
prevail,普及している
probable,十分にありそうな
radical,急進的な・根本的な
ratio,比率
reception,歓迎会・受付
recipient,受け取る人
renew,～を更新する
reproduce,～を複製する
ridiculous,ばかげた
rough,粗い
scatter,～をまき散らす
scent,香り
selfish,利己的な
shallow,浅い
sociology,社会学
spill,～をこぼす
sprawl,(都市などが)不規則に広がる
starve,飢える
steep,(傾斜が)急な
strain,～に負担をかける
submit,～を提出する
syndrome,症候群
tackle,～に取り組む
tempt,～を引き付ける
terrify,～を怖がらせる
thrive,繁栄する・成功する
tide,潮(の満ち引き)
toll,損害(の程度)
transmit,～を伝える
utility,公共事業・実用性
vanish,消える
whisper,ささやく
acquaintance,知人
altitude,高度・標高
ambiguous,あいまいな
appoint,～を任命する
ashamed,恥じて
assert,～を主張する
attain,～を獲得する・達成する
awful,ひどい
bare,裸の
beg,～を切に頼む・懇願する
bet,～と確信する
bloom,花が咲く
boast,～を誇る
bully,～をいじめる
caution,用心・警告
commerce,商業
compassion,同情
compensate,補償する
compound,～を悪化させる
comprise,～から成る
compromise,妥協する
cortex,皮質・樹皮
cottage,小別荘
county,群
craftsman,職人
cram,～を詰め込む
crawl,はう
criterion,(評価・判断の)基準
curve,カーブ
decay,腐敗
defect,欠陥
delicate,繊細な
descend,降りる・受け継がれる
despair,絶望
digest,～を消化する
discourse,会話
drown,溺死する
empirical,経験的な
enforce,～を施行する
entitle,～に権利を与える
extract,～を取り出す
fablic,織物
fame,名声
fingerprint,指紋
fragile,壊れやすい
gratitude,感謝
grave,墓
horror,恐怖
imperial,帝国の
implement,～を実行する
inferior,より劣った
innate,生まれながらの
innocent,無罪の
inquire,尋ねる
install,～を設置する
interior,室内の
knit,編み物をする
lean,かがむ・傾く
magnificent,壮大な
manipulate,～を巧みに操る
medieval,中世の
offend,～の気分を害する
offspring,子孫・子
outlook,態度・見解
premise,前提
proceed,進行する
profile,人物の紹介
quest,探究
ranch,牧場
recession,不況
recruit,～を募る
refine,～を精製する
refrain,控える
republic,共和国
revive,～を復活させる
sculpture,彫刻
secondary,二次的な
sigh,ため息をつく
sphere,球体
spin,回転させる
split,～を分割する
spray,噴霧
stake,杭
stern,厳しい
subsequent,その後の
suppress,～を抑える
sweep,掃く
tense,張りつめた・緊張した
thorough,徹底的な
thread,議論などの筋道
transplant,～を移植する
tremendous,途方もない・莫大な
troops,軍隊
tuition,授業料
uncover,～を暴く
unity,統合
valid,妥当な
worship,崇拝
worthwhile,価値がある
yell,～叫ぶ・怒鳴る
abolish,～を廃止する
accidental,偶然の
assure,～に自信を持っていう
basin,洗面器
bathe,～をふろに入れる
bleed,出血する
bold,大胆な
bug,虫
bureau,(官庁の)局
chronic,慢性の
compel,～に強いる
comprehend,～を理解する
conform,順応する
console,～を慰める
converse,会話する
cruise,巡航する
designate,～を指定する
devastate,～を荒らす
diagnousis,診断
disrupt,～を混乱させる
distort,～をゆがめる
domain,分野
drag,～を引きずる
excess,過剰・超過
exert,～を及ぼす
feast,祝宴
flagment,断片
flesh,(人・動物の)肉
fraction,わずか
frontier,国境
garment,衣服
germ,細菌
glimpse,ちらりと見えること
glow,輝き
grace,優美
gradual,徐々の
hierarchy,(社会の)階層制
holy,神聖な
immune,免疫を持つ
incorporate,～を取り入れる
index,指標
indigenous,原産の・先住の
indispensible,不可欠な
induce,～を引き起こす・説得する
integrate,～を統合する
irony,皮肉
irrelevant,無関係の
lag,遅れる
landmark,目印
lessen,～をすくなくする
maximum,最大限
metropolitan,大都市の
monument,記念碑
naked,裸の
nightmere,悪夢
oblige,～に義務付ける
obsession,妄想
outline,～の要点を述べる
outstanding,際立った
paradox,逆説
pastime,気晴らし
plug in,～を電源に差し込む
precede,～に先行する
prehistoric,有史以前の
prolong,～を長引かせる
protocol,議定書
provoke,～を引き起こす・刺激する
reassure,～を安心させる
rebel,反逆者
refuge,避難(所)
regain,～を取り戻す
retail,小売りの
revise,～を修正する
scarce,乏しい
scenery,景色
scrub,磨く
sewage,下水
shed,～を捨て去る
sincere,誠実な
slavery,奴隷制度
soar,急上昇する
sorrow,悲しみ
spouse,配偶者
squeeze,～を押し込む
stir,～をかき回す
straightforward,単純な
strip,～を取り去る
supervisor,監督者
symbolize,～を象徴する
tame,飼いならされた
timber,木材
tomb,墓
toxic,有毒な
transaction,(商)取引
trivial,ささいな
utilize,～を利用する
utter,(声を)発する
vivid,鮮やかな
vulnerable,もろい
worsen,～を悪化させる
accommodate,～を収容する
aisle,通路
alternate,代わりの
amateur,素人・アマチュア
ambassador,大使
anthropology,人類学
assemble,～を集める
bargain,買い得品
boredom,退屈
botany,植物学
clap,(手)をたたく
clarify,～を明確にする
cling,しがみつく
commonplace,(日常的に)当たり前の
confess,告白する
conspicuous,目立つ
contend,～と主張する
contradict,～を矛盾する
